Site;Lat;Long;SampleType;
Site1;35.17894;-120.80783;WCDB;Boat
Site2;35.23703;-120.89175;WCDB;Boat
Site3;35.24608;-120.89997;WCDB;Boat
Site4;35.47875;-121.02653;WCDB;Boat
Site5;35.46031;-121.00753;WCDB;Boat
Site6;35.15453;-120.68786;WDB;Boat
Site7;35.175;-120.78778;WCDB;Boat
Site8;35.2753611;-120.89925;WCDB;Boat
Site9;34.53715;-120.54737;WB;Boat
Site10;34.4473167;-120.44545;WB;Boat
Site11;34.4513667;-120.3831;WB;Boat
Site12;34.4512167;-120.35967;WB;Boat
JalamaBeach;34.51108;-120.50112;F;FRAMMERS
SpoonerCove;35.27602;-120.88769;F;FRAMMERS
ShellBeach;35.148333;-120.648056;F;FRAMMERS
MusselPoint;34.94829;-120.66628;F;FRAMMERS
BluffTrail;35.27078;-120.89531;F;FRAMMERS
